id	sentence	utterance
0	And sometimes I would want you to steal third, and I'll go like this.	['need is related to want', 'desire is related to want', 'want is related to desire', 'march is related to third', 'You would steal because you have no money', 'robbery is related to steal', 'drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go']
1	Crazy bitch!	['bitch is a synonym of backbite', 'bitch is a synonym of gripe']
2	Yes, the doctor's say if they remove it, he will die!	['One of the things you do when you die is stop breathing', 'A living being can die', 'Something that might happen when you jump out of a window is die', 'The last thing you do when you Live is Die', 'One of the things you do when you die is you stop living', 'Something that might happen while killing someone is they die', 'Something that might happen when you commit suicide is die', 'Something you need to do before you die is live', 'A suicidal person wants to die', 'trees can die', 'doctor is related to medical', '*Something you find at the doctor is a stethoscope', 'a veterinarian is a doctor', '*Something you find at the doctor is an examination table', '*Something you find at the doctor is a tongue depressor', 'a surgeon is a doctor', 'A doctor can help a sick person', 'doctor is related to profession']
3	And I just won a million dollars!	[]
4	You sure he is going to be able to crack that code?	['be is related to exist', 'exist is related to to be', 'being is related to to be', 'Highway Code is a type of code', 'instruction is a type of code', 'code is used in the context of computer science', 'software is a type of code', 'error correction code is a type of code', 'split is a type of crack', 'offer is a synonym of crack', 'able is related to ability', 'can is related to able']
5	These people find out that a spelling game is going over there, there will be nobody left at our party.	['nobody is a synonym of cipher', 'Polo is a game', 'football is a type of game', 'Baseball is a game', 'Chess is a game', 'game is related to play', 'game is related to fun', 'party is related to celebration', 'party is related to gathering', 'birthday is related to party', 'party is related to fun', 'party is related to birthday', 'surprise is related to party', 'party is related to event', 'be is related to exist', 'exist is related to to be', 'being is related to to be', 'misspelling is a type of spelling']
6	Oh, wait a minute, I have no one.	['minute is related to time', 'minute is related to seconds', 'minute is related to sixty', 'minute is related to hour', 'minute is related to sixty seconds', 'one is related to number', 'one is related to first', 'one is related to two', 'one is a number', 'one is related to single']
7	Actually I yesterday I was smoking again. Today I am smoking still.	['yesterday is a type of past']
8	Oh I do. Oh no, wait a minute, I took it out of my shirt when I put it on this morning.	['You are likely to find a shirt in closet', 'a shirt is an item of clothing', 'A shirt is worn on your upper body', 'a shirt is for wearing', 'cotton is related to shirt', 'minute is related to time', 'minute is related to seconds', 'minute is related to sixty', 'minute is related to hour', 'minute is related to sixty seconds', 'One of the things you do when you fish is wait', 'morning is related to day', 'morning is related to time', 'morning is related to early', 'morning is related to sunrise', 'morning is related to dawn', 'morning is related to before', 'morning is related to early day']
9	I thought if I littered, that crying Indian might come by and save us.	['preserve is related to save', 'return is related to come', 'arrive is related to come', 'come is related to arrive']
10	Huh! Whats dufus speled backwards?	[]
11	Oh no, now its not gonna make any sense	['make is related to create', 'manufacture is related to make', 'offer is related to make', 'produce is related to make', 'build is related to make', 'polish is related to make', 'taste is related to sense', 'touch is related to sense', 'smell is related to sense', 'feel is related to sense', 'hear is related to sense']
12	Nope, that patch is no good.	['patch is a synonym of spot', 'vamp is a way to patch', 'patch is a way to join', 'flash is a type of patch', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good']
13	If that doesn't keep kids in school, what will?	['preserve is related to keep', 'You would record somethign because you want to keep it', 'keep is related to retain', 'keep is related to hold', 'You are likely to find children in a school.', 'class is related to school', 'You are likely to find a human in the school', 'school is for learning', '*Something you find at a school is a child', 'You are likely to find a computer in any school', 'school is related to learning', 'school is related to place', 'You are likely to find a school in a town']
14	Hey, my father's house does that.	['dad is related to father', 'father is related to parent', 'father is related to dad', 'father is related to male', 'daughter is related to father', 'father is related to man', 'family is related to father', 'home is related to house', 'room is related to house', '*Something you find in a house is a computer', '*Something you find in a house is a carpet', 'nest is related to house', 'door is related to house', 'house is related to building', '*Something you find in a house is your bedroom']
