id	sentence	utterance
0	No!	[]
1	Really!?	[]
2	: Yeah.	[]
3	What?  Why?	[]
4	Oh! Oop!	[]
5	What a baby.	['chick is related to baby', 'doll is related to baby', 'a baby can wet his diaper', 'A baby can wet his/her diapers', 'baby is related to child', 'a baby can cry loudly', 'baby is related to infant', 'A baby is a very young child']
6	I talk to you and nothin'.	[]
7	Do you still wanna call  'em? I wanna call  'em.	['call is related to phone', 'call is related to telephone', 'You would remember a phone number because you want to call someone', 'call is related to ring', 'call is related to action', 'If you want to meet a friend then you should call them']
8	I'm just gonna throw it out, it's probably just a bunch of shampoo and...	['You can use a basketball to throw', 'pass is related to throw', 'You are likely to find shampoo in a shower', 'You are likely to find shampoo in a bottle', 'crowd is related to bunch', 'bunch is related to group']
9	So, you're just Bing?	[]
10	All right, cut, let's pick again, pick again.	['cut is related to knife', 'wound is related to cut', 'cut is related to slice', 'cut is related to wound', 'scissors are used to cut', 'cut is related to scissors', 'cut is related to action', 'drop is related to let', 'let is related to allow', 'allow is related to let', 'let is related to rent', 'let is related to permit', 'choose is related to pick', 'turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct']
11	It's that whole sensitive thing.	['a piece is part of a whole', 'entire is related to whole', 'body is related to whole', 'object is a kind of thing']
12	Yeah. What-what should I do?	['do is related to action', 'repeat is related to do', 'play is related to do']
13	For what? For letting you throw me out of your office?	['You can use a basketball to throw', 'pass is related to throw', '*Something you find at the office is computers', '*Something you find at the office is a chair', 'You are likely to find a pen in an office.', 'desk is related to office', 'office is related to work', '*Something you find in the office is a telephone']
14	Like I have nothing better to do!	['do is related to action', 'repeat is related to do', 'play is related to do', 'none is related to nothing', 'space is related to nothing']
15	Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.	['great is related to good', 'great is related to alexander', 'sister is related to sibling', 'sister is related to girl', 'sister is related to female', 'sister is related to brother', 'brother is related to sister', 'brother is not sister', 'sister is related to family', 'hey is a synonym of hello']
16	Umm, excuse me, we switched apartments. You can't eat are food anymore, that-that gravy train had ended.	['Something you need to do before you compete is train', 'A train can arrive late', 'Something you need to do before you become a scuba diver is train', 'Something you need to do before you run twenty-six miles is train', 'express is related to train', 'If you want to diminish your own hunger then you should eat', 'Something you need to do before you eat is find food', 'If you want to sate your hunger then you should eat', 'eat is related to food', 'Sometimes buying a hamburger causes you to eat', 'If you want to have food then you should eat it', 'You would buy a hamburger because you want to eat it', 'plate is related to eat', 'cake is related to food', 'plate is related to food', 'rice is related to food', '*Something you find in the refrigerator is food', 'bread is related to food', 'soup is related to food', 'butter is a food', 'gravy is related to sauce']
17	Well, we're trying to find someone to perform our wedding and they're all either boring or annoying or y'know, can't stop staring at the ladies.	['stop is related to sign', 'stop is related to red', 'sign is related to stop', 'stop is related to halt', 'stop is not go', 'You are likely to find a stop in an organ', 'Something that might happen when you perform is applause', 'Something you need to do before you perform is rehearse', 'If you want to perform then you should practice', 'The last thing you do when you perform is bow', 'The last thing you do when you go on the stage is perform', 'The last thing you do when you perform is take a bow', 'Something that might happen when you perform is music', 'One of the things you do when you perform is smile', 'ring is related to wedding', '*Something you find at a wedding is the bride', '*Something you find at a wedding is the bride and the groom', '*Something you find at a wedding is a ring bearer', 'cake is related to wedding', 'marry is related to wedding', 'call is related to someone', 'someone is a synonym of person', 'opera is boring', 'cleaning windows is boring', 'School is boring', 'Work can be boring', 'discover is related to find', 'find is related to search', 'find is related to discover', 'find is related to locate', 'find is related to seek']
18	What?!?!	[]
19	Ross-Ross, you have no idea what this means to me!	['idea is related to thought', 'theory is related to idea', 'idea is related to bulb']
20	What would you give to a kid if he wanted a ticket to play with?	['You would play because you want to have some fun', 'play is related to fun', 'toy is related to play', 'game is related to play', 'play is related to activity', 'play is related to game', 'child is related to kid', 'toy is related to kid', 'baby is related to kid', 'children is related to kid', 'brat is related to kid', 'a ticket is for Speeding', 'attending a classical concert requires a ticket', 'going to a sporting event requires a ticket', 'going to a play requires a ticket', 'going see a film requires a ticket', 'offer is related to give', 'provide is related to give', 'pay is related to give', 'surrender is related to give', 'feed is related to give']
21	Oh sure, go with the sissy.	['certain is related to sure', 'drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go', 'sissy is a type of coward', 'Milquetoast is a synonym of sissy', 'sissy is a synonym of effeminate', 'pantywaist is a synonym of sissy', 'milksop is a synonym of sissy']
22	I mean if you hadn't initiated it I-I-I know I would've.	['You would find information because you want to know something', 'You would read the news because you want to know', 'You would learn because you want to know something', 'You would read a book because you want to know', 'A stranger is somebody you do not know']
23	DANGER	[]
24	Yeah! Look!	[]
