id	sentence	utterance
0	All right.	['turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct']
1	No	[]
2	I mean, you and I we're just, y'know, we're nothing, we're goofin' around.	['none is related to nothing', 'space is related to nothing']
3	Uh-huh, well! But umm, still I'm-I'm mad at you.	['mad is a synonym of harebrained', 'mad is a synonym of huffy', 'mad is a synonym of delirious', 'mad is a synonym of brainsick']
4	Okay, are you aware unagi  is an eel?	['aware is a synonym of mindful', 'aware is a synonym of cognizant', '*Something you find under water is an eel']
5	Paper cut!	['cut is related to knife', 'wound is related to cut', 'cut is related to slice', 'cut is related to wound', 'scissors are used to cut', 'cut is related to scissors', 'cut is related to action']
6	Just a sec, give me a minute to wake up for this,Ah-ha-ha!!	['minute is related to time', 'minute is related to seconds', 'minute is related to sixty', 'minute is related to hour', 'minute is related to sixty seconds', 'sec is similar to dry', 'sec is a synonym of second', 'dry is similar to sec', 'unsweet is a synonym of sec', 'SEC is a synonym of Securities and Exchange Commission', 'sec is a synonym of secant', 'offer is related to give', 'provide is related to give', 'pay is related to give', 'surrender is related to give', 'feed is related to give', 'arise is related to wake']
7	Uh, Rachel's here, so good luck man, let me know how it works out.	['You would find information because you want to know something', 'You would read the news because you want to know', 'You would learn because you want to know something', 'You would read a book because you want to know', 'A stranger is somebody you do not know', 'boy is related to man', 'man is related to person', 'man is related to boy', 'person is related to man', 'fellow is related to man', 'father figure is a type of man', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'fortune is related to luck', 'a person wants luck', 'chance is related to luck', 'drop is related to let', 'let is related to allow', 'allow is related to let', 'let is related to rent', 'let is related to permit']
8	All right, okay, well, apparently not!	['go is similar to a-okay', 'okay is a synonym of all right', 'a-ok is a synonym of a-okay', 'a-okay is similar to go', 'okay is a synonym of approve', 'okay is a synonym of hunky-dory', 'okay is a synonym of O.K.', 'turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct']
9	That's easy for you to say, you weren't almost just killed.	['say is related to speak', 'repeat is related to say', 'say is related to talk', 'mention is related to say', 'difficult is not easy', 'easy is not hard', 'easy is not difficult', 'easy is related to simple']
10	I don't think you could ever do that.	['do is related to action', 'repeat is related to do', 'play is related to do', 'If you want to contemplate then you should think', 'If you want to create an idea then you should think', 'Something you might do while answering questions is Think', 'One of the things you do when you analyse something is think', 'One of the things you do when you contemplate is think', 'If you want to answer questions then you should think', 'Something you need to do before you talk to someone is think']
11	Yes, I know, but her friend sounds like such a...	"['a friend is for confiding', 'dog is related to friend', 'An activity a friend can do is talk', 'a friend is used for companionship', 'friend is related to buddy', 'enemy is not friend', 'friend is related to pal', ""*Something you find at a friend's wedding is your friend"", 'A friend can come over', 'A friend can keep a secret', 'enemy is the opposite of friend']"
12	Chandler?	[]
13	Uh, I'm gonna kill myself!	['Something you need to do before you kill someone is get a weapon', 'You can use a gun to kill someone', 'kill is related to murder', 'Something that might happen when you kill is someone or something dies', 'Something that might happen when you kill is you feel remorse', 'If you want to kill then you should have a weapon', 'If you want to kill someone then you should murder them']
14	Thanks, but I kinda have a problem to deal with here.	['deal is related to cards', 'deal is related to agreement', 'deal is related to bargain', 'Something that might happen when you play cards is you deal', 'a puzzle is a problem', 'trouble is related to problem', 'problem is related to math', 'problem is related to issue', 'problem is related to solution']
15	Yeah!	[]
