id	sentence	utterance
0	It's just a privilege to watch your mind at work.	['priest-penitent privilege is a type of privilege', 'privilege is a type of right', 'watch is related to time', 'watch is related to wrist', 'watch is related to clock', 'clock is related to watch', 'time is related to watch', 'observe is related to watch', 'watch is related to timepiece', 'a watch is used for keeping track of time', 'a watch is used for time', 'work is related to job', 'Computers are used to work', 'a computer is used for work', 'office is related to work', 'You would work because you need money', 'If you want to get paid then you should work', 'If you want to earn a living then you should Work', 'desk is related to work', 'mind is related to brain', 'mind is for thinking', 'Emotion  is part of Mind.', 'mind is related to thinking']
1	I don't think I'll be able to stop thinking about it.	['If you want to contemplate then you should think', 'If you want to create an idea then you should think', 'Something you might do while answering questions is Think', 'One of the things you do when you analyse something is think', 'One of the things you do when you contemplate is think', 'If you want to answer questions then you should think', 'Something you need to do before you talk to someone is think', 'be is related to exist', 'exist is related to to be', 'being is related to to be', 'able is related to ability', 'can is related to able', 'stop is related to sign', 'stop is related to red', 'sign is related to stop', 'stop is related to halt', 'stop is not go', 'You are likely to find a stop in an organ']
2	Since it's not bee season, you can have my epinephrine.	['epinephrine is a type of catecholamine', 'epinephrin is a synonym of epinephrine', 'epinephrine is a type of vasoconstrictor', 'Adrenalin is a synonym of epinephrine', 'have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have', 'summer is related to season', 'winter is related to season', 'fall is related to season', 'winter is a season', 'You are likely to find a bee in a meadow', 'You are likely to find a bee in any garden', 'You are likely to find a bee in the sky', 'wax is related to bee']
3	Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.	['initial entails approve', 'initial is a type of letter', 'first is similar to initial', 'first is related to second', 'minute is related to second', 'hour is related to time', 'hour is related to minutes', 'hour is related to sixty', 'minute is related to hour', 'hour is related to sixty minutes', 'hour is related to measurement', 'preserve is related to save', 'steel is related to metal', 'metal is related to steel', 'steel is related to iron', 'Steel is a metal', 'steel contains iron', 'iron is related to steel', 'deceleration is a type of rate', 'order is a synonym of rate', 'superordinate is a way to rate', 'tempo is a type of rate', 'sequence is a way to rate', 'rate is a way to judge', 'growth rate is a type of rate', 'equal is related to math']
4	I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.	['coffee is a stimulant', 'Coffee contains caffeine', 'Coffee is served hot', 'You are likely to find coffee in a coffee shop.', 'You are likely to find a sugar in coffee', 'a mug is used for coffee', 'Coffee is made from coffee beans', '*Something you find in the garage is a lawn mower', 'You are likely to find a bicycle in the garage', 'You are likely to find a mouse in the garage', 'You are likely to find a ladder in the garage', '*Something you find in the garage is a tool', '*Something you find in the garage is an automobile', '*Something you find in a garage is a toolbox', 'You are likely to find a box in any garage', '*Something you find on a table is a tablecloth', 'desk is related to table', '*Something you find on a table is food', '*Something you find on the table is a plate', 'table is related to furniture', 'a table is for Putting things on', '*Something you find under the table is floor', 'table is related to eating', 'sale is related to discount', 'sale is related to price', 'You are likely to find a sale in K-Mart', 'sale is related to bargain', 'You are likely to find a sale in department store', 'You are likely to find a sale in a store', 'evidence is a synonym of testify', 'evidence is used in the context of law', 'evidence is a type of indication', 'direct evidence is a type of evidence', 'testimony is a type of evidence', '*Something you find at your house is a couch', 'A couch may be in the living room', 'a couch is for sleeping', 'You can use a couch to furnish your home', 'You are likely to find a couch in a den', 'flea is related to tiny', 'sand is related to tiny', 'little is related to tiny', 'atom is related to tiny', 'baby is related to tiny']
5	Sheldon, if you were a robot, and I knew and you didn't...	['You are likely to find a robot in a manufacturing plant', 'You are likely to find a robot in a factory', 'A robot is an automation', 'robot is one type of a machine', 'You are likely to find a robot in a laboratory', 'robot is a synonym of automaton', 'a robot is a worker', 'robot is a kind of machine']
6	If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.	['Sometimes depression causes suicide', 'jumping out of a window is for suicide', 'post is related to mail', 'letter is related to post', 'post is related to fence', 'post is related to after', 'double is related to two', 'double is related to twice', 'double is related to single', 'double is related to times', 'double is related to triple', 'water and oil do not mix']
7	No. The dark crescent-shaped patterns under your arms conceal it nicely.	['shade is related to dark', 'black is related to dark', 'night is related to dark', 'The sky can be dark', 'dark is not light', 'evening is related to dark', 'dark is related to night', 'dark is related to black']
8	"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement."	['biology is a science', 'physics is a science', 'You are likely to find a science in a university', 'science is related to chemistry', 'science is related to biology', 'Chemistry is a science', 'science is related to subject', 'science is related to study', 'employ is related to hire', 'fact is related to truth', 'fact is related to true', 'fact is a piece of information', 'great is related to good', 'great is related to alexander', 'dance is related to movement', 'walk is related to movement', 'wave is related to movement', 'flow is related to movement', 'motion is related to movement', 'swim is related to movement', 'shake is related to movement', 'current is related to movement', 'run is related to movement', 'colony is related to original', 'copy is related to original', 'The internet can be used for research', 'Something you need to do before you write a term paper is research', 'Something that might happen while writing a term paper is research', 'If you want to find information then you should research', 'finding information is for research', '*Something you find at a university is a student', 'You are likely to find a science in a university', 'college is related to university', 'degree is related to university', '*Something you find at a university is a book', 'You are likely to find a classroom in a university', 'MIT is a University', 'a University is a place', 'nonclassical is similar to popular', 'popular is similar to favourite', 'popular is used in the context of music', 'favourite is similar to popular', 'in fashion is similar to popular', 'popular is a synonym of democratic', 'fortunate is a synonym of rosy', 'privileged is related to fortunate', 'well-off is similar to fortunate', 'lucky is related to fortunate', 'fortunate is similar to felicitous', 'good is similar to fortunate', 'fortunate is similar to fortuitous', 'residence time is a type of duration', 'stretch is a type of duration', 'duration is a type of temporal property', 'continuance is a synonym of duration', 'value is a type of duration', 'clocking is a type of duration', 'average is related to mean', 'average is related to middle', 'mean is related to average', 'average is related to median', 'bowel is a synonym of intestine', 'accommodate is a way to harmonize', 'accommodate is a way to provide', 'house is a way to accommodate', 'reduce is related to smaller', 'reduce is related to make', 'reduce is related to weight', 'reduce is related to lessen', 'hierarchy is a type of series', 'weekly is a type of series', 'divergence is a type of series', 'serial publication is a synonym of series', 'lanthanide series is a type of series', 'sequence is a type of series', 'nexus is a type of series', 'chain is a type of series', 'cordon is a type of series', 'You can use a conference auditorium to meet', 'introduce is related to meet']
9	Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.	['beaten is similar to familiar', 'familiar is similar to beaten']
10	Sure, cut the foreigner in half. There's a billion more where he came from.	['half is a type of part', 'half is a part of basketball', 'first half is a type of half', 'half is a part of football', 'second half is a type of half', 'au pair is a type of foreigner', 'outsider is a synonym of foreigner']
