id	sentence	utterance
0	I just have a question. Does Bernadette ever talk about me?	['answer is related to question', 'ask is related to question', 'question is related to answer', 'why is related to question', 'question is related to ask', 'question is related to query', 'answer is the opposite of question', 'question is related to asking']
1	He does it all the time. He's a cornucopia of social awkwardness.	['party is related to social', 'cornucopia is a synonym of profusion', 'cornucopia is a synonym of horn of plenty', 'minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'time is related to clock', 'morning is related to time', 'evening is related to time', 'time is related to minutes', 'gawkiness is a type of awkwardness', 'awkwardness is a type of disadvantage', 'clumsiness is a synonym of awkwardness', 'nuisance value is a synonym of awkwardness', 'awkwardness is a type of unskillfulness', 'ineptitude is a synonym of awkwardness', 'woodenness is a type of awkwardness', 'clumsiness is a synonym of awkwardness']
2	I just want to ask you a few questions about Howard Wolowitz.	['few is not many', 'few is related to little', 'few is the opposite of many', 'few is related to number', 'If you want to get some money from someone then you should ask', 'ask is related to question', 'question is related to ask']
3	Yes. In fact, our menses are synchronized. Penny. Bernadette tells me you're planning a girls' night.	['fact is related to truth', 'fact is related to true', 'fact is a piece of information', 'evening is related to night', 'dream is related to night', 'sleep is related to night', 'night is related to dark', 'moon is related to night', 'day is not night']
4	...so anyway, to make a long story short, turns out I have an unusually firm cervix.	['story is related to tale', 'story is related to book', 'story is related to plot', 'character is related to story', 'a story is for entertainment', 'story is related to novel', 'make is related to create', 'manufacture is related to make', 'offer is related to make', 'produce is related to make', 'build is related to make', 'polish is related to make', 'note is related to short', 'long is the opposite of short', 'dress is related to long', 'ago is related to long', 'rifle is related to long', 'hall is related to long', 'far is related to long', 'rabbit is related to long', 'river is related to long', 'company is related to firm']
5	"Bernadette dared me to tell a dirty story. ""The Miller's Tale"" by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks."	['story is related to tale', 'story is related to book', 'story is related to plot', 'character is related to story', 'a story is for entertainment', 'story is related to novel', 'You would bathe because you are dirty', 'wash is the opposite of dirty', 'clean is not dirty', 'fourteenth is a synonym of 14th', '14th is similar to ordinal', 'ordinal is similar to 14th', 'century is related to hundred', 'century is related to years', 'century is related to hundred years', 'century is related to time', 'If you want to forgive someone then you should tell them', 'You would mail a letter because you want tell someone something', 'explain is related to tell', 'sock is related to foot', 'sock is related to shoe', 'sock is related to feet', '*Something you find in a drawer is a sock', 'sock is related to clothing', '*Something you find in the sock drawer is a sock', 'sock is related to covering', 'have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have']
6	Is it possible that she was going for your cheek and you moved and she accidentally got lip? That happens with me and my mom all the time.	['minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'time is related to clock', 'morning is related to time', 'evening is related to time', 'time is related to minutes', 'a mom can mother her baby', 'mother is related to mom', 'dad is related to mom', 'dad is not mom', 'family is related to mom', 'mom is a synonym of ma', 'a mom is a parent', 'practicable is similar to possible', 'contingent is similar to possible', 'attainable is similar to possible', 'possible is a type of possibility', 'likely is related to possible', 'affirmable is similar to possible', 'possible is similar to attainable']
7	Well, I'm just glad you finally found yourself a keeper.	['keeper is a synonym of custodian', 'prison guard is a type of keeper', 'keeper is a type of defender', 'babysitter is a type of keeper', 'nanny is a type of keeper']
8	Oh, and the science dudes want to talk science with you. What do you want to talk about-- rocks, dinosaurs, our friend the beaver?	"['biology is a science', 'physics is a science', 'You are likely to find a science in a university', 'science is related to chemistry', 'science is related to biology', 'Chemistry is a science', 'science is related to subject', 'science is related to study', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk', 'You are likely to find a beaver in a zoo', ""You are likely to find a beaver in a beaver's dam"", 'You are likely to find a beaver in canada', 'need is related to want', 'desire is related to want', 'want is related to desire']"
9	In the bedrooms of ten-year- old girls, where they belong.	['age is related to old', 'record is related to old', 'ancient is related to old', 'old is related to age', 'ruin is related to old', 'old is not young']
